"row_key","gid","probe_uid","cdt_historical_id","gpl_orf","gpl_feature_name","gpl_gene_symbol","current_sgd_id","current_systematic_id","current_standard_name","current_feature_type","current_qualifier","mapping_status","mean_p","mean_non_p","p_effect","p_consistency_count","median_p","median_non_p","background_mad","p_specificity_score","p_specificity_rank","fixed_threshold_member","top_133_score_member"
"A_06_P1344","GENE4639X","A_06_P1344","YBR093C","YBR093C","YBR093C","PHO5","S000000297","YBR093C","PHO5","ORF","Verified","current",6.30166666666667,0.220869565217391,6.08079710144928,6,6.415,0.04,0.237216,18.9047969254128,1,TRUE,TRUE
"A_06_P1127","GENE3992X","A_06_P1127","YAR071W","YAR071W","YAR071W","PHO11","S000000094","YAR071W","PHO11","ORF","Verified","current",6.49,-0.191,6.681,6,6.48,-0.145,0.289107,17.0261650394365,2,TRUE,TRUE
"A_06_P4034","GENE648X","A_06_P4034","YJL012C-A","YJL012C-A","YJL012C-A","ORF:YJL012C-A","S000003549","YJL012C","VTC4","ORF","Verified","merged_or_renamed",4.245,0.455,3.79,6,4.265,0.35,0.170499,14.4732512874354,3,TRUE,TRUE
"A_06_P6778","GENE1110X","A_06_P6778","YPL019C","YPL019C","YPL019C","VTC3","S000005940","YPL019C","VTC3","ORF","Verified","current",5.20166666666667,0.356666666666667,4.845,6,5.265,0.26,0.311346,12.1673724796157,4,TRUE,TRUE
"A_06_P1719","GENE3598X","A_06_P1719","YCR098C","YCR098C","YCR098C","GIT1","S000000695","YCR098C","GIT1","ORF","Verified","current",6.52333333333333,-0.221333333333333,6.74466666666667,6,6.64,-0.2,0.563388,10.3107080622501,5,TRUE,TRUE
"A_06_P3794","GENE3421X","A_06_P3794","YHR215W","YHR215W","YHR215W","PHO12","S000001258","YHR215W","PHO12","ORF","Verified","current",5.71,-0.297666666666667,6.00766666666667,6,5.68,-0.185,0.489258,9.95319537452186,6,TRUE,TRUE
"A_06_P1550","GENE804X","A_06_P1550","YBR296C","YBR296C","YBR296C","PHO89","S000000500","YBR296C","PHO89","ORF","Verified","current",5.29833333333333,-0.19448275862069,5.49281609195402,6,5.335,-0.43,0.489258,9.78349042354962,7,TRUE,TRUE
"A_06_P2703","GENE4471X","A_06_P2703","YER072W","YER072W","YER072W","VTC1","S000000874","YER072W","VTC1","ORF","Verified","current",4.27166666666667,0.437666666666667,3.834,6,4.33,0.4,0.311346,9.55400076820973,8,TRUE,TRUE
"A_06_P4033","GENE2739X","A_06_P4033","YJL012C","YJL012C","YJL012C","VTC4","S000003549","YJL012C","VTC4","ORF","Verified","current",3.755,0.185333333333333,3.56966666666667,6,3.73,0.155,0.340998,8.1066127284024,9,TRUE,TRUE
"A_06_P3454","GENE513X","A_06_P3454","YGR233C","YGR233C","YGR233C","PHO81","S000003465","YGR233C","PHO81","ORF","Verified","current",3.435,0.198666666666667,3.23633333333333,6,3.61,0.075,0.363237,7.63108300934511,10,TRUE,TRUE
