21S_rRNA_4	rRNA gene|Merged	17	61868	62447	W	S000007289	L000004884	YNCQ0006W	S000007288	Merged rRNA; does not encodes a discrete transcript; 21S_rRNA_4 was merged into 21S_rRNA_3 to produce a single feature named 21S_rRNA (See GenBank AJ011856)	 21S_rRNA_4 was merged into 21S_rRNA_3 to produce a single feature named 21S_rRNA. See GenBank AJ011856	2004-02-06
YAR044W	ORF|Merged	1	193600	196179	W	S000000082	L000001316	YAR042W	S000000081	Merged open reading frame; does not encode a discrete protein; YAR044W was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YAR042W		
YAR062W	pseudogene|Merged	1	218549	219145	W	S000000088		YAR061W	S000000087	Pseudogenic fragment with similarity to flocculins; YAR062W has been merged into YAR061W; this region has a paralog, YHR213W, that arose from a segmental duplication	 As part of SGD's genome annotation revision R64.2, the two pseudogenes YAR061W + YAR062W have been combined into a single pseudogene, keeping the name YAR061W.  This region is homologous to parts of FLO1/YAR050W and FLO9/YAL063C, but contains stop codons at several positions.	2014-11-18
YBL103C-A	ORF|Merged	2	18437	18177	C	S000028531		YBL104C	S000000200	Merged open reading frame; does not encode a protein; YBL103C-A was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YBL104C	 Thanks to Kessler et al. for providing the coordinates of the following seven ORFs on Chromosome 2: YBL008W-A, YBL068W-A, YBL103C-A, YBR072C-A, YBR076C-A, YBR196C-A, YBR200W-A.	2006-07-04
YBR075W	ORF|Merged	2	387793	389175	W	S000000279		YBR074W	S000000278	Merged open reading frame; does not encode a discrete protein; YBR075W was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YBR074W		
YBR100W	ORF|Merged	2	443211	443549	W	S000000304		YBR098W	S000000302	Merged open reading frame; does not encode a discrete protein; YBR100W was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YBR098W		
YCL003W	ORF|Merged	3	109428	109958	W	S000000509		YCL004W	S000000510	Merged open reading frame; does not encode a discrete protein; YCL003W was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YCL004w	 YCL003W was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YCL004W. YCL004W + YCL003W = YCL004W from MIPS.	2006-10-30
YCL012W	ORF|Merged	3	100113	100808	W	S000000518		YCL014W	S000000520	Merged open reading frame; does not encode a discrete protein; YCL012W was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YCL014W	 The stop site of ORF YCL012W was moved 137 nt downstream, lengthening the coding region from 459 nt to 696 nt.  Chromosomal coordinates change from 100110-100568 to 100113-100808.	2006-11-01
YCL060C	ORF|Merged	3	21362	20409	C	S000000565		YCL061C	S000000566	Merged open reading frame; does not encode a discrete protein; YCL060C was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YCL061C	 Due to several sequence changes in the region encompassing ORFs YCL060C and YCL061C, YCL060C has been merged into adjacent ORF YCL061C.	2006-11-30
YCL062W	ORF|Merged	3	17955	18542	W	S000000567		YCL063W	S000000568	Merged open reading frame; does not encode a discrete protein; YCL062W as originally annotated as an independent ORF, but as a result of sequence changes, it was merged with an adjacent ORF into a single reading frame, designated YCL063W	 Due to several sequence changes in the region encompassing ORFs YCL062W and YCL063W, YCL062W has been merged into adjacent ORF YCL063W.  The coding region of YCL063W had been 387 nt long, and is now 1272 nt in length.	2006-12-01
YCR029C-A	ORF|Merged	3	172169	171643	C	S000000625		YCR030C	S000000626	Merged open reading frame; does not encode a protein; YCR029C-A was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YCR030C	 ORF YCR029C-A has been merged into neighboring ORF YCR030C.  The coding region YCR030C had been annotated as 1974 nt long, but is now 2613 nt in length.	2006-12-07
YCR055C	ORF|Merged	3	220193	219189	C	S000000651		YCR057C	S000000653	Merged open reading frame; does not encode a discrete protein; YCR055C was originally annotated as an independent ORF, but as a result of sequence changes, it was merged with two other ORFs into a single reading frame, designated YCR057C	 ORFs YCR055C and YCR058C were merged with existing ORF YCR057C.  The coding region of YCR057C had been 1320 nt long, but is now 2772 nt in length.	2006-12-08
YCR058C	ORF|Merged	3	221957	221652	C	S000000654		YCR057C	S000000653	Merged open reading frame; does not encode a discrete protein; YCR058C was originally annotated as an independent ORF, but as a result of sequence changes, it was merged with two other ORFs into a single reading frame, designated YCR057C	 ORFs YCR055C and YCR058C were merged with existing ORF YCR057C.  The coding region of YCR057C had been 1320 nt long, but is now 2772 nt in length.	2006-12-08
YCR062W	ORF|Merged	3	225819	226181	W	S000000658		YCR061W	S000000657	Merged open reading frame; does not encode a discrete protein; YCR062W was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YCR061W	 After resequencing and annotation of Chromosome III, ORF YCR062W has been merged into neighboring ORF YCR061W.  The coding region of YCR061W had been 1752 nt long, but is now 1896 nt in length.	2006-12-11
YCR080W	ORF|Merged	3	253094	253549	W	S000000676		YCR081W	S000000677	Merged open reading frame; does not encode a discrete protein; YCR080W was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YCR081W	 YCR080W was originally annotated as an independent ORF, but upon further review was merged with neighboring ORF YCR081W.  As a result, the annotated start site of YCR081W was moved 603 nt upstream, increasing the coding region of YCR081W in length from 3681 nt to 4284 nt.	2006-12-14
YDL038C	ORF|Merged	4	384078	382327	C	S000002196		YDL039C	S000002197	Merged open reading frame; does not encode a discrete protein; YDL038C was originally annotated as an independent ORF, but as a result of a sequence correction, was merged with adjacent ORF PRM7/YDL039C into a single open reading frame		
YDR474C	ORF|Merged	4	1409119	1407452	C	S000002882		YDR475C	S000002883	Merged open reading frame; does not encode a discrete protein; YDR474C was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YDR475C		
YER108C	ORF|Merged	5	376995	375211	C	S000117700		YER109C	S000000911	Merged ORF; YER108C has been merged into YER109C because it has been demonstrated that they correspond to a mutated FLO8 gene with an A to G transition at position 431 in strain S288C, changing amino acid 144 from a Trp to a stop	 YER108C and YER109C were originally annotated as two separate open reading frames, but it has been demonstrated that they correspond to the FLO8 gene, which contains a nonsense mutation in the reference strain S288C - an A to G transition at position 431, changing amino acid 144 from a Trp to a stop.  Therefore, they have been fused into one reading frame with an internal stop codon.	2006-08-14
YFL006W	ORF|Merged	6	129140	129904	W	S000001888		YFL007W	S000001887	Merged open reading frame; does not encode a discrete protein; YFL006W was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YFL007W		
YFL043C	ORF|Merged	6	46157	45720	C	S000001851		YFL042C	S000001852	Merged open reading frame; does not encode a discrete protein; YFL043C was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YFL042C		
YFL057C	ORF|Merged	6	14763	14305	C	S000001837		YFL056C	S000001838	Putative aryl alcohol dehydrogenase; similar to Phanerochaete chrysosporium aryl alcohol dehydrogenase; ORFs AAD6/YFL056C and AAD16/YFL057C are displaced from one another by -1 frameshift; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family	 The ORF AAD16/YFL057C was merged into neighboring ORF AAD6/YFL056C and the combined feature is now annotated as a pseudogene. This update was made as part of SGD's genome annotation revision R64.2.	2014-11-18
